   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
2  | 6 | 3 | 3 | 6 | 6 | 5 | 5 | 5 | 6 | 4 | 3 | 5 | 3 | 4 | 4 | 
3  | 4 | 4 | 4 | 3 | 3 | 4 | 6 | 4 | 5 | 3 | 3 | 4 | 6 | 5 | 3 | 
4  | 4 | 4 | 6 | 4 | 6 | 3 | 6 | 3 | 6 | 3 | 4 | 5 | 3 | 4 | 3 | 
5  | 6 | 3 | 4 | 3 | 5 | 6 | 3 | 3 | 5 | 4 | 4 | 4 | 5 | 6 | 3 | 
6  | 5 | 3 | 3 | 5 | 3 | 5 | 5 | 5 | 5 | 4 | 6 | 3 | 3 | 6 | 4 | 
7  | 4 | 4 | 3 | 5 | 6 | 5 | 5 | 4 | 6 | 3 | 4 | 3 | 3 | 4 | 4 | 
8  | 5 | 3 | 4 | 4 | 5 | 4 | 4 | 3 | 4 | 4 | 3 | 3 | 4 | 6 | 5 | 
9  | 5 | 6 | 4 | 5 | 6 | 5 | 5 | 3 | 5 | 4 | 4 | 6 | 5 | 6 | 4 | 
10 | 5 | 3 | 6 | 5 | 6 | 5 | 6 | 6 | 6 | 5 | 4 | 6 | 5 | 5 | 6 | 
11 | 6 | 6 | 4 | 4 | 3 | 6 | 6 | 6 | 5 | 3 | 6 | 3 | 5 | 4 | 4 | 
12 | 5 | 5 | 4 | 3 | 6 | 3 | 4 | 6 | 4 | 5 | 4 | 6 | 4 | 4 | 3 | 
13 | 6 | 5 | 3 | 5 | 6 | 3 | 4 | 6 | 3 | 3 | 4 | 4 | 5 | 6 | 3 | 
14 | 6 | 6 | 6 | 4 | 3 | 3 | 6 | 4 | 3 | 5 | 4 | 5 | 4 | 5 | 3 | 

start: (0, 1)   finish: (7, 14)

   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 6 | 5 | 6 | 4 | 5 | 6 | 6 | 6 | 6 | 4 | 6 | 5 | 4 | 5 | 5 | 
1  | 3 | 3 | 5 | 6 | 6 | 5 | 3 | 4 | 6 | 6 | 4 | 6 | 6 | 3 | 3 | 
2  | 3 | 6 | 6 | 3 | 4 | 4 | 4 | 6 | 6 | 5 | 4 | 6 | 6 | 5 | 5 | 
3  | 5 | 6 | 4 | 3 | 5 | 3 | 6 | 4 | 3 | 6 | 3 | 6 | 4 | 3 | 4 | 
4  | 6 | 5 | 5 | 4 | 3 | 4 | 6 | 4 | 3 | 6 | 6 | 6 | 3 | 4 | 3 | 
5  | 4 | 4 | 3 | 6 | 5 | 5 | 5 | 6 | 3 | 4 | 6 | 4 | 3 | 5 | 5 | 
6  | 3 | 5 | 6 | 6 | 3 | 6 | 4 | 4 | 3 | 5 | 5 | 5 | 6 | 4 | 6 | 
7  | 3 | 6 | 3 | 4 | 6 | 6 | 5 | 3 | 5 | 3 | 5 | 6 | 5 | 4 | 6 | 
8  | 5 | 4 | 3 | 3 | 5 | 3 | 3 | 6 | 3 | 4 | 3 | 4 | 4 | 6 | 3 | 
9  | 6 | 3 | 4 | 5 | 6 | 3 | 4 | 4 | 6 | 4 | 6 | 6 | 5 | 6 | 4 | 
10 | 3 | 4 | 3 | 5 | 6 | 5 | 5 | 4 | 5 | 6 | 6 | 6 | 3 | 5 | 4 | 
11 | 5 | 3 | 5 | 3 | 4 | 6 | 6 | 4 | 4 | 5 | 5 | 5 | 6 | 5 | 4 | 
12 | 3 | 3 | 4 | 4 | 3 | 3 | 5 | 4 | 6 | 3 | 3 | 6 | 6 | 6 | 5 | 
13 | 3 | 3 | 6 | 3 | 5 | 6 | 6 | 5 | 3 | 3 | 6 | 5 | 3 | 6 | 4 | 
14 | 5 | 3 | 5 | 6 | 6 | 6 | 5 | 3 | 6 | 4 | 6 | 5 | 4 | 6 | 6 | 

start: (4, 0)   finish: (9, 10)

   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 5 | 6 | 5 | 6 | 6 | 4 | 6 | 3 | 6 | 5 | 4 | 6 | 4 | 3 | 6 | 
1  | 3 | 4 | 5 | 4 | 6 | 4 | 5 | 6 | 3 | 4 | 6 | 4 | 3 | 5 | 3 | 
2  | 5 | 4 | 6 | 5 | 3 | 6 | 6 | 3 | 4 | 6 | 3 | 6 | 4 | 6 | 6 | 
3  | 3 | 5 | 3 | 5 | 4 | 6 | 5 | 5 | 3 | 4 | 5 | 6 | 6 | 4 | 4 | 
4  | 6 | 4 | 5 | 5 | 6 | 5 | 6 | 6 | 6 | 3 | 5 | 3 | 6 | 6 | 3 | 
5  | 5 | 4 | 5 | 3 | 3 | 4 | 5 | 4 | 4 | 4 | 3 | 3 | 6 | 5 | 4 | 
6  | 5 | 4 | 6 | 5 | 5 | 3 | 4 | 4 | 3 | 6 | 4 | 4 | 6 | 4 | 5 | 
7  | 6 | 3 | 4 | 4 | 5 | 6 | 5 | 4 | 3 | 6 | 3 | 6 | 3 | 4 | 4 | 
8  | 5 | 3 | 4 | 4 | 6 | 5 | 3 | 5 | 5 | 3 | 5 | 3 | 4 | 4 | 5 | 
9  | 5 | 3 | 5 | 6 | 6 | 3 | 5 | 3 | 6 | 3 | 4 | 3 | 6 | 3 | 6 | 
10 | 5 | 6 | 4 | 6 | 6 | 3 | 6 | 3 | 4 | 3 | 6 | 6 | 5 | 3 | 3 | 
11 | 6 | 3 | 4 | 4 | 5 | 4 | 6 | 4 | 4 | 6 | 3 | 3 | 6 | 5 | 3 | 
12 | 6 | 3 | 3 | 6 | 3 | 3 | 6 | 6 | 5 | 4 | 3 | 5 | 6 | 5 | 5 | 
13 | 5 | 6 | 3 | 3 | 5 | 3 | 5 | 4 | 6 | 4 | 6 | 5 | 4 | 4 | 6 | 
14 | 3 | 4 | 6 | 3 | 4 | 6 | 5 | 5 | 5 | 3 | 4 | 6 | 3 | 5 | 4 | 

start: (3, 11)   finish: (0, 6)

   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 3 | 3 | 6 | 4 | 3 | 6 | 3 | 3 | 3 | 3 | 6 | 6 | 3 | 5 | 6 | 
1  | 6 | 6 | 4 | 6 | 3 | 4 | 4 | 4 | 3 | 6 | 3 | 5 | 4 | 4 | 4 | 
2  | 6 | 3 | 4 | 4 | 6 | 5 | 6 | 3 | 4 | 4 | 6 | 3 | 5 | 4 | 3 | 
3  | 4 | 5 | 4 | 4 | 4 | 5 | 6 | 6 | 4 | 3 | 6 | 6 | 3 | 3 | 3 | 
4  | 5 | 3 | 4 | 3 | 3 | 3 | 5 | 5 | 5 | 4 | 4 | 4 | 6 | 5 | 5 | 
5  | 3 | 3 | 4 | 5 | 4 | 5 | 4 | 6 | 5 | 6 | 3 | 6 | 3 | 3 | 5 | 
6  | 5 | 6 | 3 | 3 | 3 | 5 | 6 | 3 | 4 | 5 | 5 | 3 | 4 | 6 | 6 | 
7  | 6 | 6 | 6 | 3 | 3 | 6 | 3 | 3 | 6 | 3 | 4 | 6 | 6 | 5 | 3 | 
8  | 3 | 4 | 6 | 5 | 4 | 6 | 4 | 3 | 6 | 4 | 4 | 4 | 6 | 5 | 6 | 
9  | 4 | 3 | 3 | 5 | 3 | 4 | 5 | 5 | 6 | 5 | 6 | 5 | 6 | 6 | 3 | 
10 | 4 | 3 | 4 | 6 | 5 | 6 | 5 | 5 | 4 | 5 | 5 | 3 | 3 | 6 | 3 | 
11 | 3 | 6 | 3 | 4 | 6 | 6 | 4 | 5 | 4 | 5 | 6 | 4 | 5 | 3 | 3 | 
12 | 3 | 6 | 3 | 3 | 6 | 6 | 6 | 5 | 6 | 3 | 5 | 6 | 3 | 3 | 6 | 
13 | 3 | 5 | 6 | 5 | 3 | 4 | 6 | 6 | 5 | 3 | 3 | 5 | 6 | 4 | 6 | 
14 | 5 | 4 | 3 | 5 | 4 | 6 | 6 | 6 | 3 | 4 | 6 | 5 | 6 | 6 | 4 | 

start: (1, 11)   finish: (6, 7)

   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 4 | 4 | 5 | 6 | 5 | 6 | 3 | 6 | 6 | 4 | 3 | 5 | 5 | 5 | 5 | 
1  | 6 | 4 | 4 | 6 | 5 | 5 | 5 | 5 | 5 | 3 | 6 | 6 | 4 | 5 | 5 | 
2  | 5 | 3 | 5 | 4 | 3 | 6 | 4 | 3 | 4 | 4 | 5 | 4 | 4 | 3 | 5 | 
3  | 4 | 5 | 4 | 4 | 6 | 3 | 4 | 6 | 6 | 5 | 3 | 6 | 4 | 3 | 6 | 
4  | 4 | 5 | 4 | 5 | 5 | 5 | 3 | 6 | 3 | 6 | 3 | 4 | 6 | 6 | 4 | 
5  | 6 | 5 | 4 | 3 | 5 | 5 | 3 | 3 | 5 | 3 | 4 | 3 | 5 | 5 | 5 | 
6  | 3 | 3 | 5 | 6 | 5 | 3 | 5 | 3 | 4 | 5 | 4 | 5 | 4 | 5 | 4 | 
7  | 3 | 6 | 6 | 3 | 6 | 4 | 3 | 5 | 3 | 3 | 3 | 5 | 6 | 3 | 5 | 
8  | 5 | 4 | 6 | 3 | 4 | 3 | 4 | 3 | 3 | 5 | 4 | 4 | 3 | 4 | 6 | 
9  | 5 | 6 | 5 | 3 | 6 | 6 | 6 | 4 | 5 | 5 | 6 | 5 | 3 | 4 | 3 | 
10 | 6 | 3 | 3 | 6 | 4 | 5 | 4 | 4 | 6 | 5 | 5 | 4 | 5 | 4 | 6 | 
11 | 3 | 4 | 3 | 5 | 3 | 5 | 3 | 3 | 3 | 6 | 5 | 3 | 5 | 5 | 5 | 
12 | 5 | 5 | 6 | 6 | 6 | 5 | 3 | 3 | 3 | 6 | 3 | 5 | 4 | 3 | 4 | 
13 | 3 | 3 | 5 | 4 | 3 | 6 | 6 | 5 | 3 | 3 | 6 | 3 | 3 | 6 | 6 | 
14 | 6 | 4 | 3 | 4 | 6 | 4 | 4 | 6 | 6 | 3 | 6 | 3 | 3 | 3 | 6 | 

start: (3, 4)   finish: (5, 12)

   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 5 | 4 | 4 | 4 | 4 | 3 | 3 | 5 | 3 | 4 | 4 | 6 | 5 | 4 | 4 | 
1  | 4 | 4 | 3 | 4 | 3 | 3 | 6 | 3 | 4 | 4 | 5 | 4 | 6 | 3 | 4 | 
2  | 6 | 3 | 4 | 3 | 5 | 5 | 5 | 5 | 4 | 5 | 5 | 6 | 4 | 3 | 5 | 
3  | 6 | 4 | 6 | 4 | 6 | 5 | 6 | 4 | 6 | 5 | 6 | 4 | 6 | 6 | 6 | 
4  | 3 | 5 | 4 | 6 | 5 | 4 | 3 | 5 | 5 | 3 | 4 | 3 | 4 | 4 | 6 | 
5  | 3 | 3 | 6 | 4 | 6 | 4 | 6 | 4 | 6 | 3 | 6 | 5 | 6 | 5 | 5 | 
6  | 3 | 3 | 5 | 5 | 5 | 5 | 6 | 6 | 3 | 6 | 4 | 5 | 6 | 6 | 6 | 
7  | 3 | 3 | 6 | 6 | 5 | 6 | 6 | 4 | 5 | 3 | 6 | 5 | 4 | 5 | 3 | 
8  | 3 | 5 | 6 | 5 | 6 | 5 | 3 | 3 | 5 | 4 | 3 | 4 | 3 | 6 | 5 | 
9  | 5 | 6 | 5 | 5 | 5 | 4 | 3 | 3 | 5 | 3 | 6 | 4 | 6 | 4 | 3 | 
10 | 5 | 5 | 5 | 4 | 6 | 5 | 6 | 3 | 5 | 5 | 3 | 3 | 6 | 6 | 4 | 
11 | 4 | 4 | 3 | 4 | 3 | 5 | 4 | 4 | 6 | 5 | 5 | 6 | 4 | 5 | 3 | 
12 | 5 | 4 | 3 | 5 | 6 | 6 | 6 | 4 | 6 | 4 | 4 | 6 | 3 | 4 | 5 | 
13 | 3 | 5 | 6 | 4 | 3 | 3 | 6 | 5 | 3 | 4 | 3 | 4 | 3 | 3 | 5 | 
14 | 3 | 4 | 4 | 4 | 5 | 3 | 4 | 3 | 4 | 6 | 6 | 5 | 6 | 3 | 3 | 

start: (13, 8)   finish: (5, 1)

   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |10 |11 |12 |13 |14 |
0  | 4 | 5 | 3 | 5 | 3 | 4 | 6 | 6 | 6 | 5 | 6 | 3 | 6 | 6 | 4 | 
1  | 6 | 3 | 5 | 3 | 6 | 4 | 4 | 3 | 5 | 6 | 3 | 5 | 4 | 3 | 3 | 
2  | 4 | 5 | 3 | 3 | 6 | 5 | 6 | 5 | 6 | 4 | 5 | 6 | 3 | 3 | 6 | 
3  | 4 | 5 | 4 | 3 | 6 | 3 | 6 | 6 | 5 | 4 | 3 | 4 | 4 | 6 | 6 | 
4  | 3 | 3 | 4 | 6 | 4 | 6 | 3 | 3 | 6 | 4 | 3 | 4 | 4 | 6 | 4 | 
5  | 6 | 3 | 4 | 6 | 6 | 3 | 6 | 5 | 5 | 4 | 6 | 6 | 5 | 4 | 3 | 
6  | 4 | 5 | 3 | 5 | 3 | 3 | 4 | 5 | 4 | 4 | 6 | 5 | 5 | 3 | 4 | 
7  | 4 | 3 | 6 | 3 | 5 | 3 | 4 | 6 | 5 | 6 | 5 | 4 | 3 | 6 | 4 | 
8  | 6 | 6 | 6 | 3 | 5 | 6 | 6 | 4 | 3 | 6 | 4 | 3 | 4 | 3 | 4 | 
9  | 4 | 5 | 3 | 5 | 5 | 6 | 3 | 4 | 6 | 4 | 3 | 6 | 4 | 5 | 4 | 
10 | 4 | 5 | 5 | 6 | 6 | 4 | 6 | 4 | 6 | 3 | 3 | 3 | 3 | 5 | 4 | 
11 | 6 | 6 | 5 | 4 | 5 | 6 | 4 | 6 | 3 | 3 | 3 | 3 | 3 | 3 | 4 | 
12 | 3 | 4 | 5 | 5 | 4 | 3 | 3 | 6 | 3 | 6 | 4 | 3 | 4 | 4 | 3 | 
13 | 4 | 3 | 3 | 4 | 3 | 6 | 6 | 6 | 5 | 4 | 4 | 4 | 4 | 4 | 4 | 
14 | 3 | 3 | 3 | 3 | 4 | 5 | 4 | 4 | 4 | 4 | 6 | 6 | 6 | 4 | 4 | 

start: (10, 8)   finish: (4, 1)

